# id	alt	name	kind	ra_deg	dec_deg	mag	major_arcmin	minor_arcmin	pa_deg	constellation
M66	NGC 3627	Leo Triplet	Gx	170.06260	12.99150	9.0	9.0	4.0	170	Leo
M67	NGC 2682	King Cobra or Golden Eye Cluster	OC	132.84583	11.81389	6.9	30.0	30.0	0	Cnc
M68	NGC 4590		GC	189.86658	-26.74406	8.2	12.0	12.0	90	Hya
M69	NGC 6637		GC	277.84625	-32.34808	7.7	7.0	7.0	90	Sgr
M70	NGC 6681		GC	280.80317	-32.29211	8.1	8.0	8.0	90	Sgr
M71	NGC 6838	Angelfish Cluster	GC	298.44371	18.77919	8.3	7.0	7.0	90	Sge
M72	NGC 6981		GC	313.36542	-12.53731	9.4	6.0	6.0	90	Aqr
M73	NGC 6994		Ast	314.75000	-12.63333	8.9	2.8	2.8		Aqr
M74	NGC 628	Phantom Galaxy	Gx	24.17394	15.78364	9.2	10.0	9.0	103	Psc
M75	NGC 6864		GC	301.52017	-21.92226	8.6	6.0	6.0	55	Sgr
M76	NGC 650-1	Little Dumbbell Nebula	PN	25.58190	51.57543	11.5	2.0	1.0	90	Per
M77	NGC 1068	Cetus A or Squid Galaxy	Gx	40.66962	-0.01329	8.8	7.0	6.0	27	Cet
M78	NGC 2068		Neb	86.69083	0.07917	8.0	8.0	6.0		Ori
M79	NGC 1904		GC	81.04413	-24.52425	8.0	9.0	9.0	90	Lep
M80	NGC 6093		GC	244.26004	-22.97608	7.2	9.0	9.0	90	Sco
M81	NGC 3031	Bode's Galaxy	Gx	148.88822	69.06530	6.8	26.0	14.0	157	UMa
M82	NGC 3034	Cigar Galaxy	Gx	148.96846	69.67970	8.4	11.0	5.0		UMa
M83	NGC 5236	Southern Pinwheel Galaxy	Gx	204.25383	-29.86576	7.6	11.0	10.0		Hya
M84	NGC 4374		Gx	186.26560	12.88698	9.3	5.0	4.0	133	Vir
M85	NGC 4382		Gx	186.35022	18.19108	9.2	7.0	5.0	21	Com
M86	NGC 4406		Gx	186.54922	12.94597	9.2	7.0	6.0	129	Vir
M87	NGC 4486	Virgo A	Gx	187.70593	12.39112	8.6	7.0	7.0	152	Vir
M88	NGC 4501		Gx	187.99647	14.42032	9.5	7.0	4.0	142	Com
M89	NGC 4552		Gx	188.91586	12.55634	9.8	4.0	4.0	134	Vir
M90	NGC 4569	Carabin Galaxy	Gx	189.20750	13.16292	9.5	10.0	5.0	20	Vir
M91	NGC 4548		Gx	188.86019	14.49632	10.2	5.0	4.0	138	Com
M92	NGC 6341		GC	259.28079	43.13594	6.5	11.0	11.0	90	Her
