# ra,dec,mag,bv,spectral,hd,hip,dist_pc,name  (dist_pc 0 = unknown)
350.4788,31.8125,5.32,-0.11,B6III,220222,115355,,
353.3671,22.4989,5.32,1.6,M5IIIa,221615,116264,176.37,
10.2800,39.4586,5.33,0.89,G8III,3817,3231,105.6,
43.4275,38.3375,5.33,0.41,F4IV,17904,13490,72.1,
60.9358,5.4356,5.33,-0.08,B3V,25558,18957,,
73.3450,2.5081,5.33,1.64,M1III,31139,22730,195.69,
73.6992,7.7792,5.33,1.22,gK1,31296,22834,135.32,
93.9375,12.5511,5.33,-0.02,B9II-III,43247,29736,,
103.2712,59.4486,5.33,0.65,G4III+A2V,49618,33048,135.14,
111.1671,-16.2011,5.33,-0.05,B2.5IVe,58343,35951,,
113.7862,30.9611,5.33,1.01,K0III,60318,36896,92.76,
117.2571,-24.9122,5.33,0.76,G0III,63660,38146,98.43,
127.2696,-47.9292,5.33,-0.14,B2IV,72108,41616,,
128.1771,20.4411,5.33,1.25,K3III,72292,41909,95.6,
133.4613,-47.5208,5.33,0.26,A9IV-V,76360,43671,80.06,
139.2383,-39.4014,5.33,1.17,K5III-IV,80170,45544,108.93,
155.8721,-38.0100,5.33,0.25,A8V,90132,50888,40.49,
175.2625,34.2017,5.33,0.72,G8V,101501,56997,9.54,
198.5454,-19.9308,5.33,0.87,G6V,114946,64577,38.62,
199.3150,13.6756,5.33,1.31,K3III,115478,64823,91.41,
228.7975,4.9394,5.33,1.09,K0III,135482,74649,143.27,
235.4475,12.8475,5.33,0.04,A0pSr,140160,76866,70.03,
245.6167,-49.5722,5.33,-0.04,B6IV,147152,80208,170.65,
247.9237,-41.8169,5.33,0.33,B1Iae,148688,80945,,
258.1158,10.5853,5.33,1.59,M2IIIa,155644,84177,238.1,
274.2813,-56.0233,5.33,-0.05,B3IIIep,167128,89605,227.79,
287.4696,-68.4247,5.33,0.91,G8-K0III-IV,177389,94150,36.86,
297.9608,-39.8744,5.33,-0.06,A0pCrSr:,187474,97749,103.95,
333.1992,34.6047,5.33,1.13,K2-III-IIIb,210889,109654,78.49,
346.9137,46.3872,5.33,1.41,K5III,218452,114200,104.82,
16.4204,21.4733,5.34,-0.03,A1Vn,6456,5131,73.15,
26.4971,-5.7333,5.34,1.52,K4III,10824,8230,156.25,
64.8192,-44.2681,5.34,1.08,K2III,27588,20161,70.92,
76.9704,8.4983,5.34,0.33,Am,33054,23879,59.38,
79.7967,2.5958,5.34,0.41,F5II,34658,24817,60.72,
83.3808,-1.1561,5.34,-0.18,B1V,36695,26063,,
83.2483,-64.2275,5.34,1.04,G8-K0III,37297,26001,71.07,
138.8075,14.9414,5.34,1.32,K1III,79554,45410,215.05,
154.5317,-28.9919,5.34,0.24,A0Ib-IIp,89353,50456,,
161.5687,-64.5150,5.34,-0.1,B6V,93540,52678,143.06,
162.3142,10.5453,5.34,0.03,A2V,93702,52911,102.46,
182.0613,-48.6928,5.34,-0.01,B9V,105416,59184,180.83,
224.4704,-76.6628,5.34,1.45,K4III:,131109,73223,131.23,
270.7129,-24.2822,5.34,0.52,F3III,164584,88380,,
275.7212,-36.6694,5.34,-0.14,Ap,168733,90074,189.75,
277.7700,-32.9892,5.34,0.16,A3m,170479,90763,107.3,
288.1696,-7.9394,5.34,0.13,B3V,179406,94385,,
322.1871,-69.5053,5.34,1.55,M5III,203881,106044,121.51,
334.2004,-12.8314,5.34,1.14,gK0,211361,110000,148.37,
355.3937,-18.0272,5.34,1.57,K5III,222547,116889,179.21,
30.3113,-30.0017,5.35,0.88,G5III,12438,9440,85.4,
36.2246,-60.3119,5.35,0.39,F2III,15233,11258,49.02,
38.0392,-1.0350,5.35,1.02,gG3,15779,11791,81.5,
38.9450,34.6875,5.35,1.66,M3IIIa,16058,12086,,
56.4183,6.0500,5.35,-0.12,B3V,23466,17563,180.51,
64.8588,21.1422,5.35,-0.08,B9IV,27295,20171,81.97,
69.9921,53.4731,5.35,0.32,A8V,29316,21730,85.03,
83.1721,-1.5919,5.35,-0.19,B1IV,36591,25980,,
87.8417,-7.5181,5.35,-0.2,B2IV-V,39291,27658,,
93.9192,59.9992,5.35,1.34,K3III,42633,29730,152.91,
101.7062,57.1692,5.35,0.96,K0III,48432,32489,63.73,
108.5833,3.1114,5.35,1.19,K2II,55751,34987,,
111.1825,-31.8089,5.35,1.07,G8II,58535,35957,169.2,
118.9163,19.8839,5.35,-0.04,A0V s,64648,38722,104.06,
119.2413,-43.5003,5.35,-0.18,B2.5V,65460,38846,343.64,
127.8988,18.0944,5.35,1.56,K5III,72094,41822,151.52,
132.6450,-66.7931,5.35,0.42,F5IV,76143,43414,52.52,
143.0804,-40.6494,5.35,0.9,G8III,82694,46811,119.62,
145.9329,14.0217,5.35,1.63,M2IIIab,84194,47723,,
154.0600,29.3106,5.35,0.01,A0Vn,88960,50303,78.93,
181.1612,-68.3292,5.35,-0.01,A0IV,104878,58884,104.06,
187.4888,58.4058,5.35,0.2,A5Del Del,108844,60978,84.18,
230.2583,0.7153,5.35,1.19,K3III,136514,75119,74.74,
247.4263,-46.2433,5.35,0.56,B1.5Iape,148379,80782,,
253.8425,18.4333,5.35,1.41,K4III,152879,82802,108.81,
260.8400,-28.1431,5.35,1.55,K5III,157236,85084,183.82,
281.5925,75.4339,5.35,0.05,A1Vn,175286,92112,93.2,
293.6717,42.4128,5.35,0.05,A2V,184875,96288,156.99,
297.0050,-56.3625,5.35,0.2,A7III-IV,186543,97421,52.11,
313.4175,-39.8100,5.35,1.32,K2III,198716,103127,126.26,
333.0079,60.7594,5.35,1.17,K1III,210939,109592,114.42,
342.5954,-80.1242,5.35,-0.15,B6IV,215573,112781,136.05,
9.9817,21.4383,5.36,1.16,K0III+F3V,3690,3138,125.94,
15.7050,-46.3975,5.36,0.9,G8III,6245,4890,72.15,
61.0412,2.8269,5.36,0.5,F6IV,25621,18993,34.64,
83.5696,3.7669,5.36,0.05,A2V,36777,26126,105.82,
91.6462,38.4828,5.36,0.25,A4m,41357,28946,116.69,
92.4963,58.9358,5.36,1.09,G8III,41597,29246,107.07,
95.4421,53.4522,5.36,0.43,F5III,43905,30247,57.01,
94.7108,-9.3903,5.36,1.24,K1.5III,43993,29996,156.74,
108.8375,-30.6864,5.36,-0.17,B3V,56342,35083,198.02,
112.4833,49.6725,5.36,0.45,F6V,58855,36439,19.9,
122.8875,-7.7725,5.36,0.89,G6III,68312,40107,96.9,
141.0379,-80.7869,5.36,0.45,F3-5IV,82554,46107,56.53,
150.2529,31.9236,5.36,0.66,G3VaHdel 1,86728,49081,14.89,
168.1379,-49.1011,5.36,0.18,A3IV-V,97495,54746,49.95,
174.6150,8.1342,5.36,1.57,M4III,101153,56779,147.06,
205.7654,3.5381,5.36,1.11,K2III,119425,66936,66.62,
221.3221,-62.8758,5.36,0.29,A9V,129422,72131,45.98,
278.4863,52.3536,5.36,1.09,K0III,171779,91013,243.9,
284.0704,-42.7106,5.36,1.0,K0III,175219,92953,95.06,
299.0054,16.6347,5.36,0.67,G5Ib,188727,98085,,
301.5908,35.9725,5.36,0.85,K0IV,191026,99031,24.19,
5.1496,8.1903,5.37,1.34,gK3,1635,1645,121.07,
16.8279,-61.7753,5.37,0.88,G5III,6793,5268,85.62,
58.9925,47.8714,5.37,-0.08,B6V,24504,18396,259.07,
62.3242,-16.3858,5.37,-0.15,B4V,26326,19398,222.72,
65.6454,25.6292,5.37,-0.05,B9V,27638,20430,82.03,
71.5071,11.7056,5.37,0.19,A2m,30210,22157,81.7,
116.3958,-34.1731,5.37,0.6,G0V,63077,37853,15.2,
124.9542,-71.5150,5.37,-0.06,B9III-IV,71046,40817,119.76,
130.2546,45.8339,5.37,0.99,G8IV,73593,42604,55.22,
142.8850,35.1031,5.37,1.53,M1IIIab,82198,46735,133.69,
179.9871,3.6553,5.37,0.0,A1V,104181,58510,84.75,
200.7546,-17.7353,5.37,0.99,KIII,116292,65301,98.04,
217.5871,-49.5192,5.37,0.05,A1V+B,126983,70931,68.21,
230.4525,32.9339,5.37,-0.07,B9Vn,136849,75178,75.76,
231.1871,-39.7103,5.37,-0.11,A0pSi,136933,75439,117.92,
238.6579,43.1386,5.37,1.65,M3IIIBa0.3,142780,77907,191.94,
242.4604,-3.4669,5.37,1.45,K4III,145206,79195,151.52,
264.1567,48.5856,5.37,1.15,gK1,160290,86182,100.91,
279.8958,-43.1861,5.37,1.68,M2III,171967,91494,250.63,
281.5858,-22.3922,5.37,1.64,K4III,173460,92111,,
281.0954,39.6128,5.37,,F0Vn,173608,,,
300.0137,17.5167,5.37,1.67,M4IIIa,189577,98438,228.83,
315.2954,46.1558,5.37,-0.21,B1Ve,200310,103732,,
332.4821,-34.0147,5.37,0.24,A5V,210271,109404,65.15,
334.5650,-53.6278,5.37,0.6,G3V,211415,110109,13.61,
335.0496,-7.8211,5.37,-0.06,B8IIIpMn:Hg:,211838,110273,227.79,
335.1150,5.7894,5.37,-0.02,B5IV,211924,110298,,
346.1650,-53.9650,5.37,1.45,K5III,217902,113957,119.62,
8.1479,20.2944,5.38,1.08,K0III,2910,2568,78.8,
11.6375,15.4756,5.38,1.65,M4IIIa,4408,3632,180.18,
21.5638,19.1722,5.38,0.39,F2V:,8723,6706,26.08,
31.2808,77.2814,5.38,0.31,F0Vn,12230,9727,33.56,
49.5933,-0.9303,5.38,1.04,G9IV,20559,15383,68.12,
60.6529,-0.2689,5.38,0.5,F5V,25457,18859,19.23,
64.9029,21.7736,5.38,-0.14,A0pSi,27309,20186,96.9,
65.1625,-20.6397,5.38,-0.02,A2V,27616,20264,141.84,
74.9600,-10.2633,5.38,0.8,G4V,32008,23221,54.67,
75.7025,-49.1514,5.38,0.42,F2V,32743,23482,26.18,
83.8629,24.0394,5.38,-0.09,B2.5IV,36819,26248,183.82,
91.6612,-4.1939,5.38,-0.13,B5IV,41692,28949,,
96.3692,-69.6903,5.38,0.97,G8III,46116,30565,81.63,
110.8713,-27.8342,5.38,1.53,K2III,58215,35848,168.35,
121.8250,-20.5547,5.38,0.1,A5II,67456,39734,,
141.9450,-6.0711,5.38,0.64,G2V,81809,46404,31.24,
158.8038,-39.5628,5.38,2.88,N0:,91793,51821,256.41,
160.6692,-59.2158,5.38,0.26,B2.5Iae,92964,52405,,
184.7079,75.1606,5.38,-0.02,A1V,107193,60044,88.57,
205.5046,-58.7872,5.38,-0.03,B9III,118978,66849,198.41,
224.0721,-52.8097,5.38,0.13,A2III,131562,73095,66.31,
234.7271,-19.3019,5.38,0.86,G8III,139446,76628,104.17,
242.0317,-26.3267,5.38,1.65,M2III,144690,79050,130.38,
260.0408,25.5375,5.38,0.03,A3III,157087,84821,154.08,
273.8038,-20.7283,5.38,0.07,B0Ia,167264,89439,,
284.1687,-37.3433,5.38,-0.14,B8IVSi,175362,92989,130.38,
284.5612,17.3608,5.38,0.8,F8Ib,176155,93124,,
285.0571,50.5336,5.38,-0.18,B2.5IV,177003,93299,191.2,
286.2300,53.3967,5.38,-0.01,A0Vn,178207,93713,107.07,
293.7121,29.4631,5.38,0.55,F8III+A0V,184759,96302,165.02,
308.4875,13.0272,5.38,0.07,A3IV s,195943,101483,53.05,
10.6183,-65.4681,5.39,0.5,F6V,4089,3330,40.67,
12.6817,64.2475,5.39,0.49,G0III-IV+B9.5V,4775,3951,249.38,
42.4758,-27.9417,5.39,0.02,A0V,17729,13202,170.07,
65.4483,60.7356,5.39,1.49,M0III,27245,20376,130.89,
69.7758,7.8708,5.39,0.26,A5m,29499,21670,51.44,
94.2775,9.9425,5.39,0.1,A2V,43525,29850,77.82,
102.2408,-15.1447,5.39,-0.1,B6V,49662,32677,186.22,
106.6696,-11.2942,5.39,0.05,B0.5IV,53974,34301,,
110.1612,-52.0861,5.39,-0.07,B9II-III,57917,35589,151.29,
110.8829,-32.2022,5.39,-0.18,B3III-IV,58286,35855,354.61,
133.5613,30.5794,5.39,1.05,G7III,75959,43721,111.98,
139.3217,-68.6894,5.39,0.42,F4V,80671,45571,33.52,
171.0096,1.4078,5.39,0.94,G8IIICN-0.5,99055,55650,111.98,
173.4054,-40.5869,5.39,0.12,A2IV-V,100493,56391,112.87,
185.7054,-57.6761,5.39,-0.1,B9V,107696,60379,104.82,
216.6142,19.2269,5.39,0.23,F0m,126661,70602,87.87,
219.7092,44.4044,5.39,0.0,A1V,129002,71618,60.39,
238.4742,-24.5331,5.39,-0.02,B6IVn,142165,77858,127.06,
245.6217,33.7036,5.39,1.53,K5III,147767,80214,167.22,
247.1417,0.6650,5.39,1.46,K4IIIp,148513,80693,129.53,
257.0083,35.9353,5.39,0.31,A5-F1III/IVm s,155103,83838,53.91,
258.6633,14.3900,5.39,,G5III+F2V,156015,,,
260.1650,32.4678,5.39,0.62,G0V,157214,84862,14.39,
274.7896,7.2597,5.39,1.07,K2III-IV,168387,89772,44.96,
275.0367,-15.8317,5.39,1.47,K4III,168415,89851,144.3,
277.4208,-1.9853,5.39,0.96,K0III,170474,90642,72.41,
279.1158,9.1225,5.39,0.37,F5III,171802,91217,38.83,
297.6950,-10.7636,5.39,0.38,F0V,187532,97650,26.41,
301.3867,61.9956,5.39,1.18,K3III,191277,98962,53.25,
310.5525,50.3400,5.39,-0.1,B2V,197511,102177,283.29,
311.8892,80.5522,5.39,1.12,K1III,199437,102599,123.15,
347.5063,9.8219,5.39,-0.08,B9III,218700,114389,189.75,
6.1979,61.8311,5.40,0.0,B9III,2011,1960,234.19,
28.3221,40.7297,5.40,1.32,gK1,11428,8814,165.56,
57.1475,-37.6222,5.40,0.01,A1V,24071,17797,49.43,
67.6554,13.7244,5.40,0.26,F0V,28556,21036,45.79,
69.1900,-62.0775,5.40,1.58,M8eIII:,29712,21479,62.42,
71.1075,11.1461,5.40,0.25,F0V,30034,22044,48.24,
84.6587,30.4925,5.40,0.45,F9III+B9.5V,37269,26536,137.17,
88.9554,20.1750,5.40,0.99,M6.5IIIe,39816,28041,,
97.2062,-7.0344,5.40,-0.07,B3ne,45726,,,
101.7200,-51.2658,5.40,1.34,K1II-III+G:p,49689,32494,277.78,
102.8625,-70.9633,5.40,-0.11,B7IV,51557,32912,171.23,
202.1129,59.9458,5.40,-0.01,A1Vn,117376,65728,72.52,
236.5233,-1.8044,5.40,-0.03,B8III,140873,77227,125.16,
244.3137,59.7550,5.40,1.63,M4IIIa,147232,79804,201.61,
246.0054,-39.1931,5.40,0.62,G5V,147513,80337,12.87,
289.0904,-45.4664,5.40,1.35,K3III,179886,94712,163.67,
294.8604,42.8183,5.40,-0.08,B9III,185872,96693,210.08,
332.7912,50.8233,5.40,0.15,A5V,210715,109521,54.82,
347.1704,2.1278,5.40,0.91,G8III-IV,218527,114273,85.91,
2.8933,-27.7997,5.41,1.34,K5III,720,930,178.25,
11.9421,74.8475,5.41,-0.08,B8III,4382,3721,246.31,
19.1512,-2.5003,5.41,0.9,G5IIIe+dA,7672,5951,78.49,
29.9421,-20.8244,5.41,1.65,M1III,12255,9326,204.92,
40.6396,-50.8003,5.41,0.56,G0V,17051,12653,17.24,
62.7079,26.4808,5.41,0.34,F2IV-V,26322,19513,59.81,
79.7500,33.7483,5.41,-0.19,A0pSi,34452,24799,137.36,
120.0487,73.9181,5.41,1.42,K3III,64307,39117,214.59,
133.9817,11.6261,5.41,1.46,gK5,76351,43851,178.57,
142.1667,45.6014,5.41,0.98,K0III-IV,81688,46471,88.26,Intercrus
142.1146,9.0567,5.41,0.6,F9V,81858,46454,34.42,
143.9150,35.8103,5.41,0.77,G8V,82885,47080,11.18,
154.1696,13.7283,5.41,1.61,M1.5IIIab,89056,50333,153.14,
176.8296,-57.6964,5.41,1.67,K5III,102461,57512,251.89,
214.8179,13.0042,5.41,0.38,F5IV,125451,69989,26.09,
219.3338,-46.1339,5.41,1.01,G8III,128266,71500,,
236.0183,-15.6728,5.41,0.23,F0IV,140417,77060,45.02,
240.2612,33.3036,5.41,0.6,G0+VaFe-1,143761,78459,17.43,
253.7300,20.9586,5.41,0.97,G8III,152815,82764,78.12,
260.5246,-70.1233,5.41,-0.04,B9V+B9.5V,156190,84979,,
275.5362,23.2853,5.41,1.6,M0IIIab,169110,90023,207.47,
297.3554,-72.5033,5.41,0.22,A4III,186219,97534,41.53,
312.3254,-68.7764,5.41,1.12,K0III,197635,102773,93.46,
321.0400,-20.8519,5.41,1.16,K0III,203638,105665,69.88,
321.9171,27.6086,5.41,0.04,A1V,204414,105966,55.68,
2.3375,-27.9878,5.42,0.42,F2V,493,761,68.63,
11.3217,55.2217,5.42,0.04,A2V s,4222,3544,107.76,
14.4592,28.9922,5.42,1.08,gG6,5575,4510,215.98,
21.1700,-41.4925,5.42,1.04,K0III,8651,6592,75.64,
23.9958,-15.4003,5.42,1.21,K2IIIaBa0.2CN1,9856,7450,168.35,
35.5517,-0.8850,5.42,0.31,F0Vn,14690,11046,85.62,
82.5425,63.0672,5.42,1.71,M1IIIa,35583,25769,285.71,
81.7921,17.9622,5.42,-0.1,B5V,35671,25499,204.92,
98.4562,-36.2322,5.42,1.44,K3III,46815,31299,124.69,
112.9517,17.0861,5.42,1.13,gK2,59686,36616,92.51,
115.3158,-38.5336,5.42,-0.15,B5V,62226,37450,189.39,
121.1962,79.4797,5.42,-0.06,A0pSi,64486,39538,101.21,
127.8788,-19.5775,5.42,-0.06,A0V,72310,41817,116.82,
134.1713,-85.6631,5.42,0.31,A8-9IV,79837,43908,48.24,
161.7167,-17.2967,5.42,0.11,A3V,93397,52737,67.2,
168.4400,-0.0697,5.42,-0.03,A0V,97585,54849,146.2,
188.4121,33.2475,5.42,1.0,K0IIICN-1,109317,61309,81.57,
217.1738,-6.9006,5.42,1.49,K5III,126927,70794,146.84,
238.4825,-23.9781,5.42,-0.04,B2.5Vne,142184,77859,120.48,
246.1321,-37.5658,5.42,-0.11,B8IV,147628,80390,143.47,
279.1550,33.4689,5.42,-0.1,B8II-IIIpHg,172044,91235,160.0,
285.7271,-3.6989,5.42,0.0,A1V,176984,93526,153.14,
286.2400,-4.0314,5.42,1.12,K1III,177463,93717,99.6,
297.6867,-59.1931,5.42,0.08,A0IV,186957,97646,79.68,
318.3221,-27.6194,5.42,1.42,K5III,201901,104750,120.05,
330.2092,-28.4536,5.42,-0.09,B8V,209014,108661,,
342.7592,-39.1569,5.42,1.43,M0III,216149,112832,,
7.1100,-39.9150,5.43,1.56,M0III,2490,2240,127.23,
9.7913,49.3544,5.43,1.64,K7III,3574,3083,,
15.7608,-4.8367,5.43,1.11,K0III-IV,6203,4914,125.79,
30.7987,0.1283,5.43,0.15,A5III,12573,9589,88.42,
39.7042,21.9614,5.43,0.16,A7V,16432,12332,106.27,
41.0217,44.2969,5.43,0.9,G0Ib-IICa1CH-1,16901,12768,212.31,
66.7617,80.8242,5.43,1.17,gG6,26836,20776,287.36,
78.0933,73.9467,5.43,-0.12,B9pSi,32650,24254,114.81,
77.3317,9.8294,5.43,0.24,A2m,33254,23983,53.94,
97.9587,-8.1581,5.43,1.38,gK2,46229,31121,,
110.7525,-31.9239,5.43,-0.15,B5IIIn,58155,35795,,
112.2738,-38.8122,5.43,-0.16,B5Vp,59635,36363,170.65,
118.2646,-36.3639,5.43,1.16,K0III,64572,38497,232.02,
137.0004,29.6542,5.43,0.89,G8III,78235,44818,79.62,
166.2258,-35.8047,5.43,0.03,A2V,96146,54173,162.6,
191.8933,66.7903,5.43,1.56,gK5,111335,62423,238.66,Tianyi
206.8558,-17.8600,5.43,1.62,M2IIIab,120052,67288,194.93,
213.8504,-18.2008,5.43,-0.03,A1V,124683,69658,80.06,
234.0504,-44.3969,5.43,1.5,K4-5III,138816,76397,202.02,
239.6450,-24.8314,5.43,-0.09,B5IV,142990,78246,149.7,
243.0304,-8.5475,5.43,0.12,A4V,145607,79387,76.63,
281.2383,-39.6864,5.43,0.87,K3II+B7,172991,91989,,
289.4317,23.0256,5.43,0.02,B0.5IV,180968,94827,,
291.3738,-23.9622,5.43,1.43,K4III,182416,95503,155.04,
309.4546,11.3778,5.43,0.06,A2V,196544,101800,54.35,
319.4887,-17.9853,5.43,-0.12,B8III,202671,105143,177.62,
333.5783,-27.7669,5.43,-0.16,B8III,210934,109789,155.76,
342.4425,55.9028,5.43,1.17,K1III,216174,112731,113.9,
344.2687,48.6842,5.43,-0.09,B4IIIep,217050,113327,,
344.8642,0.9628,5.43,0.98,gK1,217264,113521,85.98,
346.2908,-7.6936,5.43,0.3,F2IV+F0V,218060,113996,57.77,
357.2092,62.2144,5.43,0.67,A3Ia,223385,117447,,
57.3075,70.8711,5.44,0.09,A2m,23277,17854,99.8,
62.5938,-6.9239,5.44,0.94,G8III,26409,19483,115.61,
73.0217,63.5053,5.44,1.57,M3IIIab,30442,22626,153.14,
101.1896,28.9708,5.44,1.45,K4III,48450,32311,174.83,
107.0917,15.9308,5.44,1.03,G8III,54131,34440,93.63,
167.1829,-28.0806,5.44,0.07,A1V,96819,54477,58.11,
174.3913,-47.7472,5.44,1.24,K2III,101067,56700,111.36,
179.5633,-56.3172,5.44,-0.08,B8III,103961,58379,194.17,
187.0938,-39.0414,5.44,-0.08,B8V,108541,60855,130.89,
225.7471,-32.6433,5.44,-0.12,B3V,132955,73624,107.3,
234.7062,-52.3728,5.44,0.0,A0V,139129,76618,140.25,
238.6442,20.3108,5.44,1.59,M0III,142574,77902,184.5,
241.5821,67.8103,5.44,-0.02,A0Vn,145454,78893,83.89,
244.1796,-53.8111,5.44,1.73,M2III,146003,79754,,
262.2071,0.3306,5.44,0.22,A8V,158352,85537,63.05,
273.5663,-21.7131,5.44,1.52,K3III,167036,89369,155.04,
283.7175,41.6028,5.44,1.03,K0III,175740,92831,82.03,
307.8283,49.2203,5.44,1.55,M2IIIab,195774,101243,123.92,
321.9421,66.8092,5.44,-0.11,B7V,204770,105972,236.41,
349.8742,48.6253,5.44,1.03,K0III,219945,115152,100.5,
13.7512,-69.5269,5.45,1.09,K2III,5457,4293,64.43,
44.3488,-23.8619,5.45,0.23,A5V,18454,13782,48.69,
50.0821,77.7347,5.45,0.19,A6V,19978,15547,80.91,
57.0871,23.4211,5.45,-0.07,B8V,23753,17776,103.73,
64.8054,50.0489,5.45,0.22,A7V,27084,20156,79.43,
63.7029,-62.1919,5.45,1.1,K0III,27304,19805,81.9,
69.8321,-14.3592,5.45,1.06,K1IVa,29613,21685,60.9,
79.8421,-50.6061,5.45,0.51,F7III-IV,35072,24829,36.1,
84.9575,-32.6292,5.45,0.92,G6-8III,37811,26649,117.1,
101.5588,79.5647,5.45,0.5,F8V,46588,32439,17.85,
103.6025,-1.1269,5.45,0.18,A4IV,50747,33184,148.59,
104.1433,-79.4203,5.45,0.05,B9.5V,54239,33384,109.05,
107.8483,-0.3019,5.45,0.29,A8Vn-F3Vn,55057,34724,80.06,
110.7171,55.2814,5.45,,B8V,57103,35785,,
110.2425,-14.3600,5.45,0.98,gG5,57478,35615,170.65,
118.6779,47.5647,5.45,1.46,gK4,64144,38639,155.76,
134.2358,32.9103,5.45,0.12,A7IV,76398,43932,59.77,
135.6846,24.4528,5.45,-0.04,A0pSi,77350,44405,140.06,
142.5217,-51.5172,5.45,-0.1,B8V,82419,46594,127.39,
144.3013,-53.6686,5.45,0.15,A2-3V,83520,47204,71.68,
146.5858,-76.7761,5.45,0.89,G8III,85396,47956,58.65,
159.3617,-58.7333,5.45,0.5,A0Iae,92207,52004,,
163.4321,-2.1292,5.45,0.96,G8III,94402,53273,95.69,
189.4258,-27.1389,5.45,0.32,F1IV,109799,61621,34.59,
206.9100,-50.3211,5.45,1.36,K2III,119971,67304,139.28,
231.8258,-36.7678,5.45,-0.15,B4Vp,137432,75647,128.37,
238.9483,37.9469,5.45,0.33,F0IV,142908,78012,41.46,
244.8237,-42.6739,5.45,0.1,A3Vn,146667,79963,143.47,
253.5075,-41.8064,5.45,0.19,B0.5Ia,152234,82676,,
268.7967,72.0050,5.45,0.3,F2-3II-III,164613,87728,221.73,
279.1629,6.6719,5.45,0.37,F3V,171834,91237,31.72,
299.3079,40.3681,5.45,-0.1,B5V,189178,98194,,
313.3275,45.1819,5.45,1.1,K0II,199098,103094,228.31,
324.4392,19.3186,5.45,0.3,F1IV,205852,106787,98.52,
13.1692,-24.0058,5.46,1.24,K2III,5098,4104,153.37,
35.5058,-10.7778,5.46,0.35,F0V,14691,11029,29.87,
56.2008,24.2894,5.46,-0.04,B7IV,23288,17489,102.56,Celaeno
60.9858,8.1972,5.46,0.37,F2V,25570,18975,35.97,
67.5004,83.3406,5.46,0.87,G8III,26659,20982,93.11,
70.0142,12.1978,5.46,-0.12,B8IV,29589,21735,105.71,
82.8104,3.2922,5.46,-0.18,B1IV+B1.5V,36351,25861,,
83.0592,17.0581,5.46,-0.04,B7IIIe,36408,25950,,
82.5396,-47.0778,5.46,0.62,G3IV,36553,25768,43.73,
104.3912,-24.6306,5.46,0.36,dF0,51733,33478,38.55,
107.5808,-27.4914,5.46,1.0,G8III,55070,34624,197.24,
109.0604,-15.5858,5.46,0.08,A2Vnp,56405,35180,84.82,
131.6275,-45.9128,5.46,0.27,B3Ia,75149,43082,,
137.3979,-8.7878,5.46,1.01,G8II,78732,44961,196.85,
158.0492,14.1372,5.46,1.68,M1.5IIIbCa-1,91232,51585,,
182.7663,-23.6025,5.46,0.06,A2V,105850,59394,56.12,
187.7525,24.5672,5.46,0.05,A2p,108945,61071,95.33,
189.7804,21.0625,5.46,0.96,G9III,110024,61724,87.8,
193.7442,-85.1233,5.46,1.02,K0III,111482,63031,113.77,
204.8767,52.9214,5.46,0.1,A3Vn,119024,66634,51.89,
211.6783,-9.3133,5.46,0.34,F2IV,123255,68940,54.88,
222.8600,59.2939,5.46,1.36,K4III,131507,72664,135.5,
224.1921,-11.4097,5.46,1.49,K4III,131918,73133,165.02,
229.7038,-60.4964,5.46,-0.1,O7.5III((f)),135591,74941,,
231.5725,34.3358,5.46,1.4,K4III,137704,75572,150.15,
244.9796,39.7086,5.46,0.4,F3IV-V,147365,80008,26.82,
268.8550,26.0500,5.46,0.34,F2Ib,163506,87747,,
273.9696,-44.2067,5.46,0.96,G8-K0III,167096,89507,82.24,
276.7246,-48.1169,5.46,0.84,K0-1III+F-G,169405,90414,162.34,
294.4471,-4.6475,5.46,0.43,F3IV,185124,96556,32.11,
307.0608,81.4228,5.46,1.02,G9III,196787,100965,139.86,
329.0950,-37.2536,5.46,0.08,A2Vn,208321,108294,96.62,
332.6563,-11.5650,5.46,-0.12,B7III,210424,109472,172.12,
336.7721,65.1322,5.46,0.37,B0.5Ibe:,213087,110817,,
13.7417,23.6283,5.47,1.0,K1IV,5286,4288,38.93,
36.2042,10.6106,5.47,-0.1,B7IV,14951,11249,184.84,
42.6683,-35.6761,5.47,1.25,K5III,17829,13265,162.87,
44.9579,47.2208,5.47,0.89,G5:III*,18474,13965,170.94,
49.4475,44.0250,5.47,-0.06,B8V,20315,15338,197.63,
53.0358,48.0236,5.47,-0.1,B8IIIpMn,21699,16470,179.53,
61.0904,24.1058,5.47,0.86,G0III+A4V,25555,19009,,
73.7967,-74.9369,5.47,1.52,K4III,32440,22871,218.34,
82.3188,25.1506,5.47,-0.04,B8.5V,35943,25695,132.98,
86.4750,49.8264,5.47,0.03,A2VpCr,38104,27196,147.93,
87.5696,-79.3614,5.47,-0.08,B9V,40953,27566,82.92,
91.6333,-23.1106,5.47,0.08,Am,41841,28943,145.77,
108.3475,51.4289,5.47,1.67,M3-III,54895,34912,236.97,
126.4663,-42.1533,5.47,-0.15,B3V,71459,41323,249.38,
128.6508,65.1450,5.47,0.18,A2m,72037,42080,48.47,
129.3283,-62.8536,5.47,1.02,K0III,73887,42286,102.67,
130.3313,-78.9633,5.47,-0.1,B8V,75416,42637,96.9,
139.1721,-8.7447,5.47,-0.09,B9III,79931,45526,211.42,
