# ra,dec,mag,bv,spectral,hd,hip,dist_pc,name  (dist_pc 0 = unknown)
218.8767,-42.1578,2.31,-0.19,B1.5Vne,127972,71352,94.61,
240.0833,-22.6217,2.32,-0.12,B0.3IV,143275,78401,123.15,Dschubba
165.4604,56.3825,2.37,-0.02,A1V,95418,53910,24.35,Merak
6.5708,-42.3061,2.39,1.09,K0III,2261,2081,23.73,Ankaa
326.0467,9.8750,2.39,1.53,K2Ib,206778,107315,206.19,Enif
265.6221,-39.0300,2.41,-0.22,B1.5III,160578,86670,142.25,
345.9438,28.0828,2.42,1.67,M2.5II-III,217906,113881,61.09,Scheat
257.5946,-15.7247,2.43,0.06,A2V,155125,84012,25.79,Sabik
178.4575,53.6947,2.44,0.0,A0Ve,103287,58001,25.65,Phecda
319.6450,62.5856,2.44,0.22,A7V,203280,105199,14.96,Alderamin
111.0238,-29.3031,2.45,-0.08,B5Ia,58350,35904,,Aludra
311.5529,33.9703,2.46,1.03,K0-III,197989,102488,22.09,Aljanah
14.1771,60.7167,2.47,-0.15,B0IVe,5394,4427,187.97,
346.1904,15.2053,2.49,-0.04,B9V,218045,113963,42.81,Markab
140.5283,-55.0108,2.50,-0.18,B2IV-V,81188,45941,165.29,Markeb
45.5700,4.0897,2.53,1.64,M1.5IIIa,18884,14135,67.48,Menkar
208.8850,-47.2883,2.55,-0.22,B2.5IV,121263,68002,117.92,
168.5271,20.5236,2.56,0.12,A4V,97603,54872,17.69,Zosma
249.2896,-10.5672,2.56,0.02,O9.5Vn,149757,81377,140.45,
83.1825,-17.8222,2.58,0.21,F0Ib,36673,25985,,Arneb
183.9517,-17.5419,2.59,-0.11,B8IIIpHgMn,106625,59803,50.56,Gienah
182.0896,-50.7225,2.60,-0.12,B2IVne,105435,59196,121.21,
285.6529,-29.8803,2.60,0.08,A2III+A4IV,176687,93506,27.31,Ascella
154.9929,19.8417,2.61,1.15,K1-IIIbFe-0.5,89484,50583,38.52,Algieba
229.2517,-9.3831,2.61,-0.11,B8V,135742,74785,49.07,Zubeneschamali
89.9304,37.2125,2.62,-0.08,A0pSi,40312,28380,53.11,Mahasim
241.3592,-19.8056,2.62,-0.07,B1V,144217,78820,162.6,Acrab
28.6600,20.8081,2.64,0.13,A5V,11636,8903,18.27,Sheratan
84.9121,-34.0742,2.64,-0.12,B7IVe,37795,26634,82.24,Phact
188.5967,-23.3967,2.65,0.89,G5II,109379,61359,42.84,Kraz
236.0671,6.4256,2.65,1.17,K2IIIbCN1,140573,77070,22.45,Unukalhai
21.4542,60.2353,2.68,0.13,A5III-IV,8538,6686,30.48,Ruchbah
208.6713,18.3978,2.68,0.58,G0IV,121370,67927,11.34,Muphrid
224.6329,-43.1339,2.68,-0.22,B2III/IV,132058,73273,160.51,
74.2483,33.1661,2.69,1.53,K3II,31398,23015,156.99,Hassaleh
161.6925,-49.4200,2.69,0.9,G5III+G2V,93497,52727,35.49,
189.2958,-69.1356,2.69,-0.2,B2IV-V,109668,61585,93.72,
262.6908,-37.2958,2.69,-0.22,B2IV,158408,85696,158.98,Lesath
109.2858,-37.0975,2.70,1.62,K3Ib,56855,35264,335.57,
221.2467,27.0742,2.70,0.97,K0-II-III,129989,,,Izar
275.2487,-29.8281,2.70,1.38,K3-IIIa*,168454,89931,93.72,Kaus Media
296.5650,10.6133,2.72,1.52,K3II,186791,97278,141.24,Tarazed
243.5863,-3.6944,2.74,1.58,M0.5III,146051,79593,52.19,Yed Prior
245.9979,61.5142,2.74,0.91,G8-IIIab,148387,80331,26.9,Athebyne
200.1492,-36.7122,2.75,0.04,A2V,115892,65109,17.97,
222.7196,-16.0417,2.75,0.15,A3IV,130841,72622,23.67,Zubenelgenubi
160.7392,-64.3944,2.76,-0.22,B0Vp,93030,52419,134.59,
83.8583,-5.9100,2.77,-0.24,O9III,37043,26241,,Hatysa
247.5550,21.4897,2.77,0.94,G7IIIa,148856,80816,45.31,Kornephoros
265.8683,4.5672,2.77,1.16,K2III,161096,86742,25.14,Cebalrai
233.7854,-41.1669,2.78,-0.2,B2IV,138690,76297,,
76.9625,-5.0864,2.79,0.13,A3III,33111,23875,27.24,Cursa
262.6083,52.3014,2.79,0.98,G2Ib-IIa,159181,85670,110.86,Rastaban
6.4379,-77.2542,2.80,0.62,G2IV,2151,2021,7.47,
183.7862,-58.7489,2.80,-0.23,B2IV,106490,59747,111.61,Imai
121.8858,-24.3042,2.81,0.43,F6IIpDel Del,67523,39757,19.23,Tureis
250.3217,31.6031,2.81,0.65,G0IV,150680,81693,10.8,
276.9925,-25.4217,2.81,1.04,K1+IIIb,169916,90496,23.7,Kaus Borealis
248.9708,-28.2161,2.82,-0.25,B0V,149438,81266,131.75,Paikauhale
3.3092,15.1836,2.83,-0.23,B2IV,886,1067,102.15,Algenib
195.5442,10.9592,2.83,0.94,G8IIIab,113226,63608,31.35,Vindemiatrix
82.0613,-20.7594,2.84,0.82,G5II,36079,25606,48.8,Nihal
58.5329,31.8836,2.85,0.12,B1Ib,24398,18246,,
238.7854,-63.4306,2.85,0.29,F2III,141891,77952,12.31,
261.3250,-55.5300,2.85,1.46,K3Ib-IIa,157244,85258,184.84,
29.6925,-61.5697,2.86,0.28,F0V,12311,9236,21.86,
334.6254,-60.2597,2.86,1.39,K3III,211416,110130,60.9,
56.8713,24.1050,2.87,-0.09,B7IIIe,23630,17702,112.74,Alcyone
296.2437,45.1308,2.87,-0.03,B9.5IV+F1V,186882,97165,52.44,Fawaris
326.7600,-16.1272,2.87,0.29,Am,207098,107556,11.82,Deneb Algedi
95.7400,22.5136,2.88,1.64,M3IIIab,44478,30343,71.07,Tejat
113.6500,31.8886,2.88,0.04,A2Vm,60178,,,
59.4633,40.0103,2.89,-0.18,B0.5V+A2V,24760,18532,165.02,
229.7275,-68.6794,2.89,0.0,A1V,135382,74946,56.02,
239.7129,-26.1142,2.89,-0.19,B1V+B2V,143018,78265,140.85,Fang
245.2971,-25.5928,2.89,0.13,B1III,147165,80112,225.23,Alniyat
287.4408,-21.0236,2.89,0.35,F2II,178524,94141,134.95,Albaldah
111.7875,8.2894,2.90,-0.09,B8Ve,58715,36188,52.19,Gomeisa
194.0071,38.3183,2.90,-0.12,A0pSiEuHg,112413,63125,33.78,Cor Caroli
322.8896,-5.5711,2.91,0.83,G0Ib,204867,106278,187.62,Sadalsuud
46.1992,53.5064,2.93,0.7,G8III+A2V,18925,14328,78.62,
102.4842,-50.6147,2.93,1.2,K1III,50310,32768,56.02,
340.7504,30.2214,2.94,0.86,G2II-III+F0V,215182,112158,65.88,Matar
59.5075,-13.5086,2.95,1.59,M0.5IIICa-1Cr-1,25025,18543,67.8,Zaurak
187.4663,-16.5156,2.95,-0.05,B9.5V,108767,60965,26.95,Algorab
262.9604,-49.8761,2.95,-0.17,B2Vne,158427,85792,74.29,
331.4458,-0.3197,2.96,0.98,G2Ib,209750,109074,232.56,Sadalmelik
100.9829,25.1311,2.98,1.4,G8Ib,48329,32246,,Mebsuta
146.4629,23.7742,2.98,0.8,G1II,84441,47908,76.86,
75.4921,43.8233,2.99,0.54,F0Iae+B,31964,23416,,Almaaz
271.4521,-30.4242,2.99,1.0,K0III,165135,88635,29.46,Alnasl
286.3525,13.8633,2.99,0.01,A0Vn,177724,93747,25.52,Okab
32.3858,34.9872,3.00,0.14,A5III,13161,10064,38.11,
84.4113,21.1425,3.00,-0.19,B4IIIpe,37202,26451,127.88,Tianguan
182.5312,-22.6197,3.00,1.33,K2.5IIIaBa0.2:,105707,59316,93.02,
199.7304,-23.1717,3.00,0.92,G8-IIIa,115659,64962,40.5,
55.7313,47.7875,3.01,-0.13,B5IIIe,22928,17358,161.81,
146.7754,-65.0719,3.01,0.28,A6Ib,85123,48002,497.51,
167.4158,44.4986,3.01,1.14,K1III,96833,54539,45.02,
328.4821,-37.3650,3.01,-0.12,B8III,207971,108085,62.23,Aldhanab
95.0783,-30.0633,3.02,-0.19,B2.5V,44402,30122,103.09,Furud
105.7562,-23.8333,3.02,-0.08,B3Iab,53138,33977,,
218.0196,38.3083,3.03,0.19,A7III,127762,71075,26.12,Seginus
266.8963,-40.1269,3.03,0.51,F2Iae,161471,87073,,
34.8362,-2.9775,3.04,1.42,M7IIIe+Bep,14386,10826,128.37,Mira
207.4042,-42.4739,3.04,-0.17,B2IV-Ve,120324,67472,161.55,
155.5821,41.4994,3.05,1.59,M0III,89758,50801,76.28,Tania Australis
191.5704,-68.1081,3.05,-0.18,B2.5V,110879,62322,95.42,
230.1821,71.8339,3.05,0.05,A3II-III,137422,75097,147.28,Pherkad
288.1388,67.6617,3.07,1.0,G9III,180711,94376,30.73,Altais
252.9675,-38.0475,3.08,-0.2,B1.5V+B6.5V,151890,82514,,Xamidimura
292.6804,27.9597,3.08,1.13,K3II+B9.5V,183912,95947,118.2,Albireo
305.2529,-14.7814,3.08,0.79,F8V+A0,193495,100345,105.49,Dabih
133.8483,5.9456,3.11,1.0,G9II-III,76294,43813,46.21,
162.4062,-16.1936,3.11,1.25,K2III,93813,52943,42.48,
274.4067,-36.7617,3.11,1.56,M3.5III,167618,89642,45.72,
309.3917,-47.2914,3.11,1.0,K0IIICNIII-IV,196171,101772,31.05,
87.7400,-35.7683,3.12,1.16,K2III,39425,27628,26.36,Wazn
140.2637,34.3925,3.13,1.55,K7IIIab,80493,45860,68.07,
142.8054,-57.0344,3.13,1.55,K5III,82668,46701,72.89,
173.9450,-63.0197,3.13,-0.04,B9III,100841,56561,125.63,
224.7904,-42.1042,3.13,-0.2,B2IV,132200,73334,165.29,
254.6550,-55.9903,3.13,1.6,K3III,152786,83081,176.06,
134.8017,48.0417,3.14,0.19,A7IV,76644,44127,14.64,Talitha
258.7579,24.8392,3.14,0.08,A3IV,156164,84379,24.07,Sarin
258.7617,36.8092,3.16,1.44,K3IIab,156283,84380,112.49,
76.6287,41.2344,3.17,-0.18,B3V,32630,23767,67.25,Haedus
99.4404,-43.1961,3.17,-0.11,B8III,47670,31685,129.7,
143.2142,51.6772,3.17,0.46,F6IV,82328,46853,13.49,
257.1967,65.7147,3.17,-0.12,B6III,155763,83895,104.17,Aldhibah
281.4142,-26.9908,3.17,-0.11,B8III,173300,92041,70.72,
72.4600,6.9614,3.19,0.45,F6V,30652,22449,8.03,Tabit
76.3654,-22.3711,3.19,1.46,K5III,32887,23685,69.49,
220.6267,-64.9753,3.19,0.24,ApSrEuCr:,128898,71908,16.4,
254.4171,9.3750,3.20,1.15,K2III,153210,83000,26.32,
318.2342,30.2269,3.20,0.99,G8+III-IIIaBa0.6,202109,104732,46.25,
267.4646,-37.0433,3.21,1.17,K2III,161892,87261,38.9,Fuyue
354.8367,77.6325,3.21,1.03,K1III-IV,222404,116727,13.79,Errai
230.3429,-40.6475,3.22,-0.22,B1.5IV,136298,75141,156.49,
302.8263,-0.8214,3.23,-0.07,B9.5III,191692,99473,88.03,
322.1650,70.5608,3.23,-0.22,B1IV,205021,106032,182.48,Alfirk
44.5654,-40.3047,3.24,0.14,A4III,18622,13847,49.46,Acamar
56.8096,-74.2389,3.24,1.62,M2III,24512,17678,65.66,
244.5804,-4.6925,3.24,0.96,G9.5IIIbFe-0.5,146791,79882,32.96,Yed Posterior
284.7358,32.6894,3.24,-0.05,B9III,176437,93194,194.55,Sulafat
112.3075,-43.3014,3.25,1.51,K5III,59717,36377,56.37,
275.3275,-2.8989,3.26,0.94,K0III-IV,168723,89962,18.94,
9.8321,30.8608,3.27,1.28,K3III,3627,3092,31.07,
68.4992,-55.0450,3.27,-0.1,A0IIISi,29305,21281,53.88,
102.0475,-61.9414,3.27,0.21,A7IV,50241,32607,30.34,
211.5929,-26.6825,3.27,1.12,K2-III-IIIbFe-0.5,123123,68895,31.08,
260.5025,-24.9994,3.27,-0.22,B2IV,157056,84970,172.71,
343.6625,-15.8208,3.27,0.05,A3V,216627,113136,48.92,Skat
93.7192,22.5067,3.28,1.6,M3III,42995,29655,,Propus
226.0175,-25.2819,3.29,1.7,M3-III,133216,73714,89.53,Brachium
231.2325,58.9661,3.29,1.16,K2III,137759,75458,31.33,Edasich
16.5208,-46.7186,3.31,0.89,G8III,6595,5165,,
78.2329,-16.2056,3.31,-0.11,B9IIIpHgMn,33904,24305,56.53,
183.8567,57.0325,3.31,0.08,A3V,106591,59774,24.97,Megrez
153.4342,-70.0381,3.32,-0.08,B8III,89080,50099,113.51,
158.0058,-61.6853,3.32,-0.09,B4Vne,91465,51576,152.44,
286.7350,-27.6706,3.32,1.19,K1+IIIb,177716,93864,36.91,
258.0383,-43.2392,3.33,0.41,F3III-IVp,155203,84143,21.95,
117.3237,-24.8597,3.34,1.24,G6Iab-Ib,63700,38170,,Azmidi
168.5600,15.4294,3.34,-0.01,A2V,97633,54879,54.47,Chertan
261.3483,-56.3775,3.34,-0.13,B1Ib,157246,85267,,
269.7567,-9.7736,3.34,0.99,K0IIIaCN-1,163917,88048,46.84,
63.6062,-62.4739,3.35,0.91,G8II-III,27256,19780,50.05,
332.7138,58.2011,3.35,1.57,K1.5Ib,210745,109492,222.72,
81.1192,-2.3969,3.36,-0.17,B1V+B2e,35411,25281,,
101.3225,12.8956,3.36,0.43,F5III,48737,32362,17.54,Alzirr
127.5662,60.7181,3.36,0.84,G5III,71369,41704,56.31,Muscida
291.3746,3.1147,3.36,0.32,F3IV,182640,95501,15.37,
203.6733,-0.5958,3.37,0.11,A3V,118098,66249,22.45,Heze
230.6704,-44.6894,3.37,-0.18,B2IV-V,136504,75264,154.56,
28.5987,63.6700,3.38,-0.15,B3III,11415,8886,135.5,Segin
131.6942,6.4189,3.38,0.68,G5III,74874,43109,41.44,Ashlesha
193.9008,3.3975,3.38,1.58,M3+III,112300,63090,62.07,Minelauva
46.2942,38.8403,3.39,1.65,M4II,19058,14354,99.7,
67.1654,15.8708,3.40,0.18,A7III,28319,20894,45.68,Chamukuy
154.2708,-61.3322,3.40,1.54,K3IIa,89388,50371,225.73,
340.3654,10.8314,3.40,-0.09,B8V,214923,112029,63.94,Homam
22.0913,-43.3183,3.41,1.57,M0-IIIa,9053,6867,71.74,
28.2704,29.5789,3.41,0.49,F6IV,11443,8796,19.66,Mothallah
207.3762,-41.6878,3.41,-0.22,B2IV,120307,67464,145.56,
228.0712,-52.0992,3.41,0.92,G8III,134505,74395,35.64,
240.0304,-38.3969,3.41,-0.22,B2.5IV,143118,78384,151.29,
266.6146,27.7206,3.42,0.75,G5IV,161797,86974,8.4,
311.2396,-66.2031,3.42,0.16,A7III,197051,102395,42.18,
311.3225,61.8389,3.43,0.92,K0IV,198149,102422,14.34,
12.2750,57.8158,3.44,0.57,F9V+dM0,4614,3821,5.95,Achird
137.7417,-58.9669,3.44,-0.19,B2IV-V,79351,45080,128.37,
154.1725,23.4172,3.44,0.31,F0III,89025,50335,79.62,Adhafera
286.5621,-4.8825,3.44,-0.09,B9Vn,177756,93805,38.39,
17.1475,-10.1822,3.45,1.16,K1.5IIICN1Fe0.5,6805,5364,36.06,
154.2742,42.9144,3.45,0.03,A2IV,89021,50372,41.2,Tania Borealis
282.5200,33.3628,3.45,0.0,B8IIpe,174638,92420,270.27,Sheliak
40.8250,3.2358,3.47,0.09,A3V,16970,12706,25.14,Kaffaljidhma
60.1700,12.4903,3.47,-0.12,B3V+A4IV,25204,18724,113.51,
105.4296,-27.9347,3.47,1.73,K7Ib,52877,33856,,Nganurganity
119.1946,-52.9822,3.47,-0.18,B3IVp,65575,38827,118.62,
228.8758,33.3147,3.47,0.95,G8IIIFe-1,135722,74666,35.79,
299.6892,19.4922,3.47,1.57,M0-III,189319,98337,84.03,
169.6196,33.0942,3.48,1.4,K3-IIIBa0.3,98262,55219,129.2,Alula Borealis
258.6621,14.3903,3.48,1.44,M5Ib-II,156014,84345,,Rasalgethi
342.5008,24.6017,3.48,0.93,G8+III,216131,112748,35.78,Sadalbari
342.1388,-51.3169,3.49,0.08,A3V,215789,112623,39.75,
26.0171,-15.9375,3.50,0.72,G8V,10700,8102,3.65,
225.4867,40.3906,3.50,0.97,G8IIIaBa0.3Fe-0.5,133208,73555,67.07,Nekkar
276.7433,-45.9683,3.51,-0.17,B3IV,169467,90422,76.45,
284.4325,-21.1067,3.51,1.18,K1III,175775,93085,114.16,
124.1288,9.1856,3.52,1.48,K4IIIBa0.5,69267,40526,89.05,Tarf
145.2875,9.8922,3.52,0.49,F6II+A1-5V,83808,47508,41.46,Subra
